epoch,train_loss,val_mae,val_rmse
1,0.5411875629774807,0.7193319797515869,1.0389835834503174
2,0.49011364644780425,0.7032124996185303,1.0168285369873047
3,0.4707968478389358,0.6936014294624329,0.9956924319267273
4,0.45792731103512363,0.6889745593070984,0.9778530597686768
5,0.4449615342255618,0.6694980263710022,0.9463303089141846
6,0.43419536255974056,0.6489019989967346,0.9175130724906921
7,0.419761955592335,0.635187566280365,0.899054229259491
8,0.4108513326254334,0.614652693271637,0.8585647344589233
9,0.4025069255846345,0.5991979837417603,0.8373528122901917
10,0.39609104832110603,0.5682606101036072,0.8079141974449158
11,0.3888232399024124,0.5740804076194763,0.8129332661628723
12,0.3842657335230074,0.5784617066383362,0.8105484843254089
13,0.37899158024263263,0.5500360727310181,0.7752004265785217
14,0.3765365313784126,0.5433571338653564,0.7815141081809998
15,0.3700642722743065,0.5574679374694824,0.8008589744567871
16,0.36644354149298447,0.5337194800376892,0.7578870058059692
17,0.36377982033785516,0.5339735746383667,0.7519835233688354
18,0.3599105707590621,0.5227264165878296,0.7451284527778625
19,0.35807193819351474,0.5142831206321716,0.743247926235199
20,0.3548964565861196,0.5141579508781433,0.735521137714386
21,0.3520648815375377,0.5123514533042908,0.7337479591369629
22,0.35106821325414045,0.5242584943771362,0.7471222281455994
23,0.3481267934032058,0.5001682639122009,0.723471462726593
24,0.3447103331316363,0.5083872079849243,0.7277489900588989
25,0.3436912540118677,0.49689722061157227,0.7145434617996216
26,0.34137120165276935,0.502666711807251,0.7227492332458496
27,0.33972476790761597,0.49397823214530945,0.7106744647026062
28,0.3369648810703772,0.509745717048645,0.7293530106544495
29,0.33564743479773,0.5016620755195618,0.7257032990455627
30,0.3354606565752939,0.4921902120113373,0.7067853212356567
31,0.3335665248716956,0.4830930233001709,0.7014718055725098
32,0.3304891756082222,0.4925621449947357,0.7122511267662048
33,0.3307925770218623,0.49326229095458984,0.7116454839706421
34,0.3292924958511203,0.4780937135219574,0.6952064037322998
35,0.3272772528285794,0.47861582040786743,0.6896989345550537
36,0.32590505611925663,0.4833618998527527,0.7004186511039734
37,0.325132836995323,0.4818575084209442,0.7045552134513855
38,0.32375298436813077,0.4843249022960663,0.7018543481826782
39,0.32123178505955813,0.4973907470703125,0.7101305723190308
40,0.3212783172690198,0.47505754232406616,0.693812906742096
41,0.3200377416785597,0.4783216118812561,0.6877516508102417
42,0.318757752553175,0.4759928286075592,0.6856545209884644
43,0.31836716054704195,0.4772602915763855,0.6960425972938538
44,0.3171114726288103,0.47051870822906494,0.6876805424690247
45,0.31560993500618595,0.4636329412460327,0.6762689352035522
46,0.3134120876165357,0.47362715005874634,0.6925145387649536
47,0.3132239209264881,0.46350523829460144,0.6803396344184875
48,0.31260329892990935,0.46209633350372314,0.6773229241371155
49,0.3116521293930436,0.4671527147293091,0.6837142705917358
50,0.3109095510468798,0.46088114380836487,0.6702277064323425
51,0.31090043262922384,0.4655240774154663,0.6717014908790588
52,0.3084093494053866,0.4654228091239929,0.6791394948959351
53,0.3082107845101788,0.4625266492366791,0.6791030168533325
54,0.30769741436817244,0.4520602822303772,0.6638425588607788
55,0.30667153838794214,0.45504823327064514,0.6638389825820923
56,0.30623654981114173,0.4653097093105316,0.670339047908783
57,0.3046038572683311,0.4500652849674225,0.6623024940490723
58,0.3041102505837793,0.45509716868400574,0.6662182807922363
59,0.30414535043292057,0.4591391980648041,0.6631718873977661
60,0.30260010172947693,0.45379120111465454,0.6724299788475037
61,0.30077689649277617,0.45081934332847595,0.661436140537262
62,0.30196408282573767,0.4596938490867615,0.6753965616226196
63,0.3005122543838613,0.4524368345737457,0.6651003360748291
64,0.2997061217836762,0.448095440864563,0.6614415645599365
65,0.2985954877435432,0.45695170760154724,0.6673561930656433
66,0.2982526586589137,0.4468338191509247,0.6574615240097046
67,0.29732032102011235,0.4450153410434723,0.6587958335876465
68,0.2966697033503819,0.44487863779067993,0.6547917723655701
69,0.29675220780092815,0.4441234767436981,0.6571412086486816
70,0.29552909607992195,0.44507551193237305,0.6533215641975403
71,0.29511910655096285,0.44295692443847656,0.654011607170105
72,0.29476110283786333,0.4481160640716553,0.6557081341743469
73,0.29480675267269674,0.4383574426174164,0.6502957344055176
74,0.2937535434451255,0.44645506143569946,0.655787467956543
75,0.29200847075300285,0.4430089592933655,0.6569540500640869
76,0.29124995687188615,0.4454493820667267,0.6563464403152466
77,0.2922425367721427,0.4476381838321686,0.6555140614509583
78,0.2902701137847014,0.4472980499267578,0.6579723954200745
79,0.2913349188481683,0.43578723073005676,0.6457354426383972
